gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches
MAMDC2-AS1,True,0.015866088941483694,1.5243226440353337,1.1334653,3
MAMDC2,True,0.01740555707410535,1.5396396110233792,1.2267282,4
SMC5-AS1,True,0.054383204712455745,1.5428089019119053,1.2250572,6
TRPM3,True,0.029993218704464676,1.5346724903449716,1.2453283,5
ANXA1,True,1.1385702431204354,2.457807652225367,2.5680912,10
RORB,True,0.04512190132705845,1.8904707411324453,2.2109728,10
PCSK5,True,0.9031656794136417,1.9032197610621158,1.2471465,6
CEP78,True,0.594678468210711,1.8866160213797822,1.6502988,7
TLE1,True,0.34955054676090436,1.7853811898656897,1.5263785,6
FRMD3,True,0.3349219606968411,1.8148369602024979,1.8430067,10
GKAP1,True,0.2320752596236572,1.566770596525712,1.1178111,5
NTRK2,True,0.011073168826106856,1.5778433841885504,1.3529912,5
C9orf153,True,0.037205133004254175,1.4738500886631085,1.0335344,4
DAPK1,True,0.6008120499037849,1.8150644499157589,1.3769578,7
SHC3,True,0.010228806130664354,1.3759292126461315,0.71559113,4
SYK,True,1.4494065817567883,2.1231691463456395,1.1927642,4
AL158071.1,True,0.06958873538738242,1.439899164216758,0.9701698,3
ROR2,True,0.035989915706345674,1.8446829022503486,2.1074064,8
CENPP,True,0.6460019876256273,2.093418413056181,2.2819104,10
AOPEP,True,0.7699210670781687,1.7784144239952675,0.9275524,3
FANCC,True,0.3357959626492598,1.9288249195035636,2.1404638,10
LINC00476,True,0.458210877046725,1.7152889482993943,1.1945602,6
CDC14B,True,0.11661382718683677,1.5800632340854297,1.3242574,6
PTCSC2,True,0.04607362390304853,1.4038861007684886,0.8466262,3
NR4A3,True,0.17599826960138565,1.68282029027911,1.538485,6
INVS,True,0.945129635937062,1.9865999774548349,1.4294271,8
ABCA1,True,0.7635132079043057,2.0346912608817185,1.8391886,9
LINC01505,True,0.3877374149365572,2.6452446117259383,4.527064,10
LINC01505-1,True,0.3877374149365572,2.6452446117259383,4.527064,10
ZNF462,True,0.01432506463518125,1.6343755853696973,1.4497238,6
AL807761.4,True,0.0029703826684125646,1.1523343718964265,0.52888274,3
PTPN3,True,0.006991130945600108,1.6901463017906238,1.6207249,5
PALM2-AKAP2,True,0.5044346228362608,2.1651386310740564,2.6420686,10
LPAR1,True,0.229622420539834,1.4705952876746855,0.9111584,4
AL162414.1,True,0.011878182465378442,1.3008122136322906,0.5480317,3
SHOC1,True,0.07266135274286753,1.4152352373904207,0.8604481,5
UGCG,True,0.5861004065022328,1.6843414101820364,0.9894212,4
KIAA1958,True,0.5110021161560796,1.8185754185873524,1.436119,6
WHRN,True,0.10959714307991578,1.525083766842387,1.1934639,5
PAPPA,True,0.018079225403141694,1.3645102286703612,0.74339086,4
AL137024.1,True,0.0031221805170749462,1.4266016102682462,0.88652116,3
ASTN2,True,0.1695760692255836,1.7117659799862384,1.6937196,8
ASTN2-AS1,True,0.02609963868935795,1.4513809038978507,1.0081859,5
MEGF9,True,1.0083735289228348,1.912139165722439,1.07937,3
AL359644.1,True,0.03632866733645256,1.5231977447464864,1.1793352,5
AL359636.2,True,0.05069183360057927,1.531531548519163,1.1654207,5
STRBP,True,0.5867602167623602,2.0060280969669497,1.9731083,9
NR6A1,True,0.23309090053717924,1.6085070346686638,1.3194196,7
MIR181A2HG,True,0.05223077927003117,1.5426107521277115,1.1634783,5
SCAI,True,0.4420686917255094,1.6305799862362609,0.99432075,3
PBX3,True,1.2905400905494224,1.9573202902018056,0.95332444,3
RALGPS1,True,0.305435457193986,1.5685758234044052,1.0585023,5
GARNL3,True,0.07727187654033815,1.5006917095658252,1.1117653,4
LCN2,True,0.0021062160131903635,1.3460329277816478,1.0889965,3
ABL1,True,0.49471309650076495,1.6379405021412623,0.904371,3
GFI1B,True,0.007114923581780225,1.2850298101741573,0.52893084,3
STKLD1,True,0.016358874139385724,1.3288592509759003,0.6093345,4
FCN1,True,1.1179082866967167,2.021547506193015,1.1737324,5
PTGDS,True,0.21886766936737093,2.8561607325690335,5.008247,10
CLIC3,True,0.1539798121727313,1.5101613483336962,1.0792978,5
CACNA1B,True,0.01134009744111864,1.490315225649624,1.1254032,4
DIP2C,True,0.16949634024425744,1.6108644929776914,1.3618658,7
ADARB2,True,0.03719488298005287,1.7211097145170222,1.7737607,6
IL2RA,True,0.285604843576598,1.9737654559142743,2.3024473,8
PRKCQ,True,1.2564651027199436,1.9868263152940557,1.0674348,4
PRKCQ-AS1,True,0.47076041479303105,1.6252478539152513,1.0178987,4
AL392086.3,True,0.0774230473373978,1.9397077542583196,2.3178322,9
GATA3,True,0.4529415136247191,1.7418036362119396,1.3066742,6
USP6NL,True,0.5996051323366359,1.7270730638042138,1.0999132,4
CCDC3,True,0.03136874896757273,1.478532857793945,1.0666108,5
FRMD4A,True,0.13807377225269776,1.6391434173257526,1.4890455,5
FAM171A1,True,0.05505372088161398,1.5814449189807716,1.3359188,7
CUBN,True,0.34822385396931177,1.6628960895799474,1.2753633,7
ST8SIA6,True,0.2025060143112185,1.873133622444285,2.1209438,10
STAM,True,0.7668505836432368,1.7491556191440067,0.98730403,4
MRC1,True,0.019598471357185638,1.5402047842987965,1.2351186,4
CACNB2,True,0.08298398550700589,1.474456109221008,0.9990971,3
PLXDC2,True,2.0630372585691257,3.1091084561768243,2.6208117,10
NEBL,True,0.13567112437305204,1.5912230524820263,1.6694783,6
AL512603.2,True,0.5375389742253887,1.6893565155358643,0.98503536,3
KIAA1217,True,0.039213696954970144,1.496553304424082,1.1128979,3
PRTFDC1,True,0.057540284160556475,1.5112178612288196,1.156127,4
ENKUR,True,0.020868829042714226,1.4486735237465171,0.9563852,5
ANKRD26,True,0.31464529067755087,1.6419168557169357,1.2576419,5
ARMC4,True,0.008607499239543247,1.2983349373383422,0.5816134,3
LINC02652,True,0.01697471754611641,1.4284471724587016,0.8816471,4
ZNF438,True,0.6758116548518809,1.719774452733199,1.0411068,5
LINC02664,True,0.003931367561928589,1.3340409345630253,0.5981079,3
ZEB1-AS1,True,0.0427959915902533,1.6456736445844768,1.5101374,8
ZEB1,True,1.7868942349016463,2.44430560157394,1.552121,7
CCDC7,True,0.8200966520172077,1.9671275436619617,1.5324337,9
ITGB1,True,1.3435863357606341,1.9322871671375488,0.8170602,3
NRP1,True,0.06698157894810584,2.172811259600134,3.0017266,10
PARD3,True,0.033357804280275266,1.8187943297137807,1.9638383,6
ZNF248,True,0.1836109505772338,1.5428681638798618,1.2312382,5
AC068707.1,True,0.0068820088473281775,1.306611715484451,0.5805029,3
WDFY4,True,0.6610929601319271,1.9637439396100576,1.8263562,8
AL138760.1,True,0.0506174147150487,1.412709435236628,0.8561031,4
