names,scores,logfoldchanges,pvals,pvals_adj
SNTB1,20.250835,0.42319992,3.4926552818170544e-91,4.438704026728681e-89
TUT7,20.238722,0.35961926,4.465997775163908e-91,5.656054829369349e-89
JAZF1,20.230307,0.36794418,5.297291862704187e-91,6.685730326442617e-89
ALOX5,20.207497,0.5764194,8.410800952571223e-91,1.0578822187802725e-88
APLP2,20.198627,0.39408764,1.0065498063074656e-90,1.2616688171458748e-88
PREX1,20.172218,0.35310787,1.7175781376984073e-90,2.1455657821808668e-88
EPB41L3,20.165632,0.6936302,1.9622138395865353e-90,2.4428227463505706e-88
AC022217.3,20.1597,0.5125602,2.212153746552989e-90,2.744645399240202e-88
TRIM38,20.12283,0.41474757,4.657263323216218e-90,5.758800503143136e-88
PSTPIP2,20.104805,0.5900228,6.698446409051446e-90,8.254876667262357e-88
KLF6,20.100483,0.34531575,7.307841286111301e-90,8.975647614528851e-88
KSR1,20.086794,0.64729524,9.62836457101359e-90,1.1786213099119347e-87
SPECC1,20.060232,0.68615437,1.6431645908927843e-89,1.9980553884141793e-87
ATP8B4,20.045752,0.7064695,2.1983642851206642e-89,2.6643156026391205e-87
MIS18BP1,20.044159,0.38972571,2.2698679283193078e-89,2.741895579023597e-87
LAP3,20.004776,0.8045606,5.0043411274009656e-89,6.02512794750009e-87
ANXA2,19.989235,0.473661,6.833635674075038e-89,8.200586862518703e-87
PTP4A2,19.977592,0.34363475,8.628610938436841e-89,1.0320777416919176e-86
RASSF2,19.972399,0.5098737,9.57448532398141e-89,1.1414844864594253e-86
CD300E,19.937843,0.73464495,1.911273727945216e-88,2.2712509648221706e-86
CD58,19.906387,0.455451,3.582409657563323e-88,4.2433584426043754e-86
BCL6,19.899675,0.5401016,4.095796037721503e-88,4.8358138960207975e-86
ANO6,19.843039,0.42152923,1.2657042379978327e-87,1.4895833059472243e-85
TYROBP,19.832218,0.54691947,1.5696293786327287e-87,1.8413463104915545e-85
PPM1L,19.816872,0.5103568,2.1293998429930757e-87,2.4900371774245864e-85
KDM2A,19.81388,0.28694314,2.2597868059490493e-87,2.634090983584113e-85
AHR,19.807896,0.45002282,2.5449616029805985e-87,2.957083797799774e-85
FCER1G,19.719772,0.64561796,1.4588454228801466e-86,1.6843912089222788e-84
SH3BP2,19.713482,0.53832245,1.651999635385589e-86,1.901410020589558e-84
WSB1,19.686773,0.3918323,2.799603630822037e-86,3.2121721784237425e-84
ENTPD1,19.677538,0.49522877,3.359310384943188e-86,3.8423162312283014e-84
CPEB4,19.662252,0.3855759,4.541075733935285e-86,5.177816602422597e-84
