names,scores,logfoldchanges,pvals,pvals_adj,-log10_padj,significant
GNB4,16.704584,0.6252379,1.213703421252632e-62,9.451650834312251e-61,60.02449233057886,True
DDX60,16.698767,0.6523516,1.338006866077095e-62,1.0397534884349844e-60,59.98306961387669,True
GNS,16.606085,0.5984156,6.297184332526267e-62,4.8218251831546844e-60,59.31678853916129,True
AIF1,16.479012,0.55968,5.1927488255733385e-61,3.9431493727138963e-59,58.4041567708556,True
BID,16.475693,0.50234425,5.4856455646514866e-61,4.156938163805571e-59,58.38122643575786,True
VASP,16.470596,0.5162397,5.967965519166375e-61,4.513088966260506e-59,58.34552610517359,True
ITPK1,16.377617,0.50851864,2.763584615428974e-60,2.0517233369029603e-58,57.687881201726405,True
TEX14,16.362339,0.50587493,3.552139180698725e-60,2.6318187480314587e-58,57.57974402366002,True
PLBD1,16.355078,0.6796383,4.002025810250656e-60,2.9591544784037226e-58,57.528832362528746,True
ADAP2,16.278717,0.7138278,1.3976727779316438e-59,1.0251747764544306e-57,56.989202087799356,True
MS4A7,16.187435,0.8465655,6.185415252511746e-59,4.4830174981620274e-57,56.34842956598801,True
MAFB,16.168701,0.5565466,8.384843114686834e-59,6.053129050111496e-57,56.21802006701692,True
LILRB1,16.163843,0.8785893,9.07247857754199e-59,6.536649378279813e-57,56.18464480968945,True
LTA4H,16.157953,0.55712295,9.982231140541082e-59,7.177989036835839e-57,56.14399720931364,True
ITGAM,16.071402,0.65755284,4.048331319696383e-58,2.888362078600533e-56,55.539348365506264,True
EGR1,16.015358,1.0230513,9.983027222682757e-58,7.040246230778641e-56,55.152412151255845,True
PLXNB2,16.006159,0.7435262,1.1573725190496488e-57,8.1307085546518595e-56,55.089871605947536,True
MGAT1,15.982231,0.5085746,1.6995163504346158e-57,1.1781060216336623e-55,54.9288156242021,True
SORT1,15.942543,0.84785134,3.210185554880244e-57,2.2127307249373223e-55,54.65507143369554,True
ARID3A,15.936041,0.6472205,3.562217723656646e-57,2.446167559166171e-55,54.61151379769676,True
ARHGAP31,15.777447,0.59570026,4.448210630200741e-56,3.003855300294785e-54,53.52232099170684,True
NCF1,15.677105,0.55385524,2.169164223289805e-55,1.4382894879824302e-53,52.84215369366092,True
MAN2B1,15.6670265,0.5158927,2.5419466984150607e-55,1.6763565965529662e-53,52.77563359224381,True
SLC2A9,15.60316,0.65874314,6.927874853235775e-55,4.536084928502372e-53,52.343318822802395,True
LILRB3,15.499036,0.7319869,3.521343998362337e-54,2.2730989715001746e-52,51.643381654534316,True
CLMN,15.390039,0.54998684,1.9091692720190801e-53,1.2195026967743517e-51,50.91381723496245,True
