Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Defective CHSY1 Causes TPBS R-HSA-3595177,1/8,0.0393135041520565,0.1351635714180229,0,0,28.705627705627705,92.8967850071638,VCAN
Reactome_2022,Nef And Signal Transduction R-HSA-164944,1/8,0.0393135041520565,0.1351635714180229,0,0,28.705627705627705,92.8967850071638,HCK
Reactome_2022,Interleukin-23 Signaling R-HSA-9020933,1/9,0.0441188457824273,0.1474713271060764,0,0,25.116161616161616,78.3842312444799,JAK2
Reactome_2022,Interleukin-9 Signaling R-HSA-8985947,1/9,0.0441188457824273,0.1474713271060764,0,0,25.116161616161616,78.3842312444799,STAT1
Reactome_2022,MAPK1 (ERK2) Activation R-HSA-112411,1/9,0.0441188457824273,0.1474713271060764,0,0,25.116161616161616,78.3842312444799,JAK2
Reactome_2022,Sodium/Calcium Exchangers R-HSA-425561,1/10,0.0489003911418304,0.1590364072270342,0,0,22.32435465768799,67.37423003045056,SLC8A1
Reactome_2022,Interleukin-21 Signaling R-HSA-9020958,1/10,0.0489003911418304,0.1590364072270342,0,0,22.32435465768799,67.37423003045056,STAT1
Reactome_2022,MAPK3 (ERK1) Activation R-HSA-110056,1/10,0.0489003911418304,0.1590364072270342,0,0,22.32435465768799,67.37423003045056,JAK2
Reactome_2022,Signaling By NOTCH1 R-HSA-1980143,2/74,0.0529880944930012,0.1655609460432636,0,0,5.620181405895692,16.510339602462818,NUMB;MAML3
Reactome_2022,Reduction Of Cytosolic Ca++ Levels R-HSA-418359,1/11,0.0536582567508638,0.1655609460432636,0,0,20.09090909090909,58.76831842188268,SLC8A1
Reactome_2022,Dermatan Sulfate Biosynthesis R-HSA-2022923,1/11,0.0536582567508638,0.1655609460432636,0,0,20.09090909090909,58.76831842188268,VCAN
Reactome_2022,Endosomal/Vacuolar Pathway R-HSA-1236977,1/11,0.0536582567508638,0.1655609460432636,0,0,20.09090909090909,58.76831842188268,CTSS
Reactome_2022,Signaling By Leptin R-HSA-2586552,1/11,0.0536582567508638,0.1655609460432636,0,0,20.09090909090909,58.76831842188268,JAK2
Reactome_2022,Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770,1/11,0.0536582567508638,0.1655609460432636,0,0,20.09090909090909,58.76831842188268,STAT1
Reactome_2022,Pre-NOTCH Expression And Processing R-HSA-1912422,2/78,0.058168160710821,0.1713797857512892,0,0,5.323308270676692,15.141709290687697,NOTCH2;MAML3
Reactome_2022,PECAM1 Interactions R-HSA-210990,1/12,0.0583925585800791,0.1713797857512892,0,0,18.26354453627181,51.878818604154176,PECAM1
Reactome_2022,Pyrimidine Catabolism R-HSA-73621,1/12,0.0583925585800791,0.1713797857512892,0,0,18.26354453627181,51.878818604154176,DPYD
Reactome_2022,Maturation Of Nucleoprotein R-HSA-9683610,1/12,0.0583925585800791,0.1713797857512892,0,0,18.26354453627181,51.878818604154176,PARP14
Reactome_2022,Eicosanoids R-HSA-211979,1/12,0.0583925585800791,0.1713797857512892,0,0,18.26354453627181,51.878818604154176,TBXAS1
Reactome_2022,Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276,1/12,0.0583925585800791,0.1713797857512892,0,0,18.26354453627181,51.878818604154176,JAK2
Reactome_2022,DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,2/81,0.0621638842786596,0.1725782709497842,0,0,5.120382330147248,14.224325268693594,TRIM25;ISG15
Reactome_2022,Signaling By NOTCH4 R-HSA-9013694,2/81,0.0621638842786596,0.1725782709497842,0,0,5.120382330147248,14.224325268693594,NOTCH2;MAML3
Reactome_2022,Signal Transduction R-HSA-162582,18/2465,0.0626267695357885,0.1725782709497842,0,0,1.5656503234423436,4.337732017747,NOTCH2;CPNE8;DOCK5;CTBP2;NCF2;STAT1;LRRK2;CYBB;ARHGAP26;FGD4;GRK3;GNAQ;EPSTI1;NUMB;MAML3;SRGAP2;JAK2;PLCB1
Reactome_2022,Trafficking And Processing Of Endosomal TLR R-HSA-1679131,1/13,0.0631034120924418,0.1725782709497842,0,0,16.74074074074074,46.254339159717055,CTSS
Reactome_2022,Alpha-Linolenic (Omega3) And Linoleic (Omega6) Acid Metabolism R-HSA-2046104,1/13,0.0631034120924418,0.1725782709497842,0,0,16.74074074074074,46.254339159717055,ACSL1
Reactome_2022,NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,1/13,0.0631034120924418,0.1725782709497842,0,0,16.74074074074074,46.254339159717055,TRIM25
Reactome_2022,Signal Regulatory Protein Family Interactions R-HSA-391160,1/13,0.0631034120924418,0.1725782709497842,0,0,16.74074074074074,46.254339159717055,SKAP2
Reactome_2022,Erythropoietin Activates RAS R-HSA-9027284,1/13,0.0631034120924418,0.1725782709497842,0,0,16.74074074074074,46.254339159717055,JAK2
Reactome_2022,FCGR Activation R-HSA-2029481,1/13,0.0631034120924418,0.1725782709497842,0,0,16.74074074074074,46.254339159717055,HCK
Reactome_2022,Platelet Homeostasis R-HSA-418346,2/83,0.0648783802345316,0.1760613418187337,0,0,4.99344923154447,13.658286245847664,PECAM1;SLC8A1
Reactome_2022,Tryptophan Catabolism R-HSA-71240,1/14,0.0677909321684321,0.1760613418187337,0,0,15.452214452214452,41.58695944336839,KYNU
Reactome_2022,CS/DS Degradation R-HSA-2024101,1/14,0.0677909321684321,0.1760613418187337,0,0,15.452214452214452,41.58695944336839,VCAN
Reactome_2022,Interleukin-15 Signaling R-HSA-8983432,1/14,0.0677909321684321,0.1760613418187337,0,0,15.452214452214452,41.58695944336839,IL15
